,nombre,latitud,longitud,ciudad,distancia,tipo
20,St. Pat's Bar (St. Pat's Bar & Grill),40.756462821681176,-73.98033811216897,New York,811,Bar
21,Pocket Bar NYC,40.763252613122496,-73.99241683506325,New York,755,Bar
22,Ace Hotel Lobby Bar,40.74583046684671,-73.9881650005538,New York,1222,Hotel Bar
23,Rowland’s Bar & Grill,40.75085661,-73.98948006,New York,655,Bar
24,Anytime Soju Bar and Eatery,40.74780808819708,-73.98679824648289,New York,1028,Korean Restaurant
25,Scallywag's Bar & Grill,40.75620883350506,-73.99427205230263,New York,368,Pub
26,The Modern—Bar Room,40.76105680468243,-73.9765927897423,New York,1225,Cocktail Bar
27,Applebee's Grill + Bar,40.761470159763284,-73.98400899571226,New York,728,American Restaurant
28,Bill's Bar & Burger,40.7592896,-73.9775348,New York,1085,Burger Joint
29,Benefit Brow Bar,40.751087,-73.989677,New York,628,Cosmetics Shop
30,New York City Bar Association,40.75536218078325,-73.98267961379067,New York,632,Office
31,R/GA Coffee Bar 318,40.75556616348179,-73.99241777260337,New York,244,Café
32,Barcelona Bar,40.7652778417369,-73.98374504800434,New York,1086,Bar
33,Winnie's Lobby Bar,40.752196,-73.985574,New York,625,Cocktail Bar
34,Sant Ambroeus Coffee Bar,40.76436530280706,-73.96935449385504,New York,1934,Café
35,R/GA Coffee Bar,40.75594845273153,-73.99365898368325,New York,323,Café
36,Nordstrom Coffee Bar,40.766572,-73.982039,New York,1283,Café
37,Bar Feroce,40.746334,-73.990875,New York,1159,Hotel Bar
38,News Bar Cafe,40.734145,-73.992428,New York,2522,Café
39,Blue Ribbon Sushi Bar & Grill,40.76760994989555,-73.98290953446875,New York,1349,Sushi Restaurant
40,Buenavista Restaurant & Bar,40.75686719,-73.99351312,New York,299,Restaurant
41,Jack's Restaurant and Bar,40.75465483544198,-73.98762136998639,New York,303,American Restaurant
42,Barracuda Bar,40.74456530914799,-73.99844422703585,New York,1531,Gay Bar
43,Walter's Bar,40.74929668498292,-73.99552431601508,New York,951,Dive Bar
44,Library Bar,40.76260109365135,-73.98191213607788,New York,942,Gastropub
