,nombre,latitud,longitud,ciudad,distancia,tipo
35,Starbucks Príncipe Pío,40.421949993513195,-3.7203776278003375,Madrid,9866,Coffee Shop
36,Starbucks ECI Pozuelo,40.463101058172825,-3.806382840888177,Pozuelo de Alarcón,12264,Cafeteria
37,Starbucks Teatro Real,40.418106483857194,-3.709606077515513,Madrid,9918,Cafeteria
38,Starbucks Distrito Telefónica,40.515285,-3.6631304,Madrid,1598,Cafeteria
39,Starbucks,40.418054,-3.710009,Madrid,9935,Cafeteria
40,Starbucks Las Rozas Village,40.51836776876095,-3.9029260202946063,Las Rozas,19713,Coffee Shop
41,Starbucks Room Mate Oscar,40.42075183549848,-3.6993145297210788,Madrid,9381,Cafeteria
42,Starbucks,40.403120577140534,-3.687687685586035,Madrid,11122,Cafeteria
43,Starbucks CC La Gavia,40.36878210729123,-3.5969286239354488,Madrid,16124,Coffee Shop
44,Starbucks Plaza Río 2,40.39130385405477,-3.701122858987979,Madrid,12608,Cafeteria
45,Starbucks ECI Méndez Álvaro,40.39469,-3.676454,Madrid,11979,Cafeteria
46,Starbucks Parquesur,40.3393318306369,-3.7333420586110004,Leganés,18887,Coffee Shop
47,Starbucks Palace,40.414995,-3.695058,Madrid,9921,Cafeteria
